manga_id,title,type,score,status,genres_Action,genres_Comedy,genres_Drama,genres_Fantasy,genres_Romance,themes_School,demographics_Seinen,demographics_Shoujo,demographics_Shounen,score,log_scored_by,log_members,log_favorites,Content_Others
81669,Overlord,light_novel,8.65,currently_publishing,1,0,0,1,0,0,0,0,0,0.6680161943319836,0.6436164446387574,0.6337974832614177,0.7066451994808083,1
35573,Orange,manga,8.31,finished,0,0,1,0,1,1,0,1,0,0.5303643724696356,0.7842450083985683,0.7760649836720781,0.7576221102307633,1
40171,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,light_novel,8.77,finished,0,1,0,0,1,1,0,0,0,0.7165991902834006,0.6307159488967503,0.6539047705217285,0.7114361014704185,1
132214,Omniscient Reader,manhwa,8.4,currently_publishing,1,0,0,1,0,0,0,0,0,0.5668016194331984,0.7177675225470675,0.6942645349898284,0.7169970127665068,1
1224,3-gatsu no Lion,manga,8.88,currently_publishing,0,0,1,0,0,0,1,0,0,0.7611336032388665,0.6229799044200889,0.6423484322328286,0.7081347441895749,1
89087,Wotaku ni Koi wa Muzukashii,manga,8.37,finished,0,1,0,0,1,0,0,0,0,0.5546558704453437,0.7348542413950322,0.7489189323865886,0.743860259985521,1
56529,Bungou Stray Dogs,manga,8.51,currently_publishing,1,0,0,0,0,0,1,0,0,0.6113360323886639,0.667097548037343,0.6856787714739079,0.7396539894596241,1
81117,Tokyo Ghoul:re,manga,8.27,finished,1,0,0,1,0,0,1,0,0,0.5141700404858294,0.8737195772840324,0.8668597445956598,0.8457058489534994,1
418,Mushishi,manga,8.72,finished,0,0,0,1,0,0,1,0,0,0.6963562753036436,0.6287280573187063,0.6756716772072326,0.6772745221814006,1
3285,Holyland,manga,8.46,finished,1,0,0,0,0,0,1,0,0,0.5910931174089069,0.6857211270155158,0.678794523194179,0.7024795622466466,1
936,Homunculus,manga,8.36,finished,0,0,1,0,0,0,1,0,0,0.5506072874493921,0.7304343448231724,0.7425453846972938,0.7498122294329983,1
39325,Boku dake ga Inai Machi,manga,8.37,finished,0,0,0,0,0,0,1,0,0,0.5546558704453437,0.7174783289351166,0.6869476099856522,0.69265666387656,1
3009,JoJo no Kimyou na Bouken Part 6: Stone Ocean,manga,8.25,finished,1,0,0,0,0,0,0,0,1,0.5060728744939271,0.8638368962658688,0.8157551465587882,0.7993783544751991,1
4,Yokohama Kaidashi Kikou,manga,8.68,finished,0,0,1,0,0,0,1,0,0,0.6801619433198378,0.6227469735091417,0.6577381589961586,0.727399685556435,1
112318,Jigokuraku,manga,8.3,finished,1,0,0,1,0,0,0,0,1,0.5263157894736841,0.7629221893701023,0.7682148427079303,0.7471429995660173,1
48621,Koe no Katachi,one_shot,8.39,finished,0,0,1,0,0,1,0,0,1,0.5627530364372468,0.7026279180259437,0.6328278404946159,0.5548076035090943,0
96792,Kimetsu no Yaiba,manga,8.23,finished,1,0,0,1,0,0,0,0,1,0.49797570850202444,0.9499102887492546,0.9319041183268892,0.8771974237110169,1
79085,Given,manga,8.54,finished,0,0,1,0,0,1,0,0,0,0.6234817813765177,0.648168538027332,0.6268545920878814,0.7150965492993234,1
1303,Ashita no Joe,manga,8.94,finished,0,0,1,0,0,0,0,0,1,0.7854251012145745,0.6076840704743683,0.6007757388047934,0.7095347285314805,1
99314,Kimi no Na wa.,manga,8.39,finished,0,0,1,0,0,0,1,0,0,0.5627530364372468,0.6983800429515671,0.6860285125575643,0.6260636003147756,1
46282,Chikan Otoko,manga,8.5,finished,0,1,1,0,1,0,0,0,0,0.6072874493927123,0.6547160860469204,0.591834057393372,0.6810524170287886,1
24,D.Gray-man,manga,8.28,currently_publishing,1,0,0,0,0,0,0,0,1,0.5182186234817809,0.7747636960176224,0.7780225490862096,0.8058320265922265,1
39883,Ansatsu Kyoushitsu,manga,8.26,finished,1,1,0,0,0,1,0,0,1,0.5101214574898782,0.7951790526601125,0.7755757958482856,0.7553643465774832,0
